paper_id,pdf_filename,title,doi,screening_decision,reason,evidence_category,database_use,integration_status
OPP-P01,All-in-one continuous electrochemical monitoring of 2-phenylphenol removal from water by electro-Fenton treatment..pdf,All-in-one continuous electrochemical monitoring of 2-phenylphenol removal from water by electro-Fenton treatment.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P02,Catalytic degradation of kraft lignin to determine its antioxidant potential for industrial purposes..pdf,Catalytic degradation of kraft lignin to determine its antioxidant potential for industrial purposes.,,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
OPP-P03,Cloning of bacterial genes specifying degradation of 4-chlorobiphenyl from Pseudomonas putida OU83..pdf,Cloning of bacterial genes specifying degradation of 4-chlorobiphenyl from Pseudomonas putida OU83.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P04,"Degradation of 2-hydroxybiphenyl and 2,2'-dihydroxybiphenyl by Pseudomonas sp. strain HBP1..pdf","Degradation of 2-hydroxybiphenyl and 2,2'-dihydroxybiphenyl by Pseudomonas sp. strain HBP1.",,Include,"Primary pathway paper for Pseudomonas sp. HBP1; reports growth, monooxygenase, products and proposed pathway.",Direct microbial pathway evidence,Evidence + pathway steps,Not integrated
OPP-P05,Degradation of alkylphenols by white rot fungus Irpex lacteus and its manganese peroxidase..pdf,Degradation of alkylphenols by white rot fungus Irpex lacteus and its manganese peroxidase.,,Include,"Fungal culture degrades phenylphenol; purified MnP evidence is strongest for octylphenol/nonylphenol, so phenylphenol enzyme link is supportive.",Fungal degradation / enzyme support,Evidence record; cautious enzyme note,Not integrated
OPP-P06,Degradation of de-esterified pctinhomogalacturonan by the polygalacturonase GhNSP is necessary for pollen exine formation and male fertility in cotton..pdf,Degradation of de-esterified pctinhomogalacturonan by the polygalacturonase GhNSP is necessary for pollen exine formation and male fertility in cotton.,,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
OPP-P07,"Degradation of imazalil, orthophenylphenol and pyrimethanil in Clementine mandarins under conventional postharvest industrial conditions at 4Â°C..pdf","Degradation of imazalil, orthophenylphenol and pyrimethanil in Clementine mandarins under conventional postharvest industrial conditions at 4Â°C.",,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P08,Detection of Residual 2-Phenylphenol on Lemon Rind by Electrochemically Deposited Poly(hydroxybenzaldehyde) and Poly(hydroxybenzoic acid) Polymeric Stackings as Electrode Modifiers..pdf,Detection of Residual 2-Phenylphenol on Lemon Rind by Electrochemically Deposited Poly(hydroxybenzaldehyde) and Poly(hydroxybenzoic acid) Polymeric Stackings as Electrode Modifiers.,,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
OPP-P09,Enhancing Pectin Particles with Polymer Additives Mitigating Rumen Degradation and Minimizing Yellowish Milk Color in Grazed Cows..pdf,Enhancing Pectin Particles with Polymer Additives Mitigating Rumen Degradation and Minimizing Yellowish Milk Color in Grazed Cows.,,Exclude,"Wrong compound, abiotic process, analytical/residue study, or review/background.",Excluded/background,Do not use,Not integrated
OPP-P10,"Expression, localization, and functional analysis of polychlorinated biphenyl degradation genes cbpABCD of Pseudomonas putida..pdf","Expression, localization, and functional analysis of polychlorinated biphenyl degradation genes cbpABCD of Pseudomonas putida.",,Exclude,Not primary microbial 2-phenylphenol pathway evidence.,Not pathway evidence,Do not use for 2-Phenylphenol pathway,Not integrated
